fdc_id,food,carbs,calories,fiber,protein,fat
324849,"Proximates, Peanut butter, creamy, store brand/other brand, SAFEWAY KITCHENS & SHOP RITE (CO,CT) - NFY120CD2",0.0,0.0,0.0,0.0,51.8
324850,"TDF, Peanut butter, creamy, store brand/other brand, SAFEWAY KITCHENS & SHOP RITE (CO,CT) - NFY120CD3",0.0,0.0,3.6,0.0,0.0
324859,"Proximates, Peanut butter, creamy, SKIPPY (CA2,NC) - NFY120C77",0.0,0.0,0.0,0.0,50.1
324860,"Peanut butter, smooth style, with salt",22.3,1548.5,4.8,22.5,51.1
324870,"Proximates, Parmesan cheese, grated, KRAFT 100% (FL,MO) - NFY120DS3",0.0,0.0,0.0,0.0,28.7
324880,"Proximates, Parmesan cheese, grated, KRAFT 100% (IN,NY) - NFY120DQH",0.0,0.0,0.0,0.0,28.7
324890,"Proximates, Parmesan cheese, grated, KRAFT 100% (CA2,NC) - NFY120DRC",0.0,0.0,0.0,0.0,30.4
324912,"Proximates, Parmesan cheese, grated, KRAFT 100% (AL,CA1) - NFY120DR5",0.0,0.0,0.0,0.0,28.8
324920,"Proximates, Parmesan cheese, grated, store brand/other brand, PRICE CHOPPER (CT) - NFY120DSY",0.0,0.0,0.0,0.0,23.8
324937,"Proximates, Parmesan cheese, grated, KRAFT 100% (CO,CT) - NFY120DRR",0.0,0.0,0.0,0.0,29.6
324956,"Proximates, Parmesan cheese, grated, KRAFT 100% (MI,OK) - NFY120DSK",0.0,0.0,0.0,0.0,27.9
324969,"Proximates, Parmesan cheese, grated, store brand/other brand, MY ESSENTIALS & SUNNYSIDE FARMS (CA2,NC) - NFY120DTQ",0.0,0.0,0.0,0.0,26.6
324987,"Proximates, Parmesan cheese, grated, store brand/other brand, GREAT VALUE (AL,OK) - NFY120DTF",0.0,0.0,0.0,0.0,26.0
325005,"Proximates, Parmesan cheese, grated, store brand/other brand, SAFEWAY KITCHENS (CO,CA1) - NFY120DU4",0.0,0.0,0.0,0.0,22.3
325016,"Proximates, Parmesan cheese, grated, store brand/other brand, FLORA & HYVEE (FL,MO) - NFY120DUE",0.0,0.0,0.0,0.0,28.4
325025,"Proximates, Parmesan cheese, grated, store brand/other brand, KROGER (MI,IN) - NFY120DUT",0.0,0.0,0.0,0.0,35.2
325036,"Cheese, parmesan, grated",12.4,1090.5,0.0,29.6,28.0
325042,"Proximates, American cheese, pasteurized process, mixed store brand - NFY090HPC",0.0,0.0,0.0,0.0,30.2
325056,"Proximates, American cheese, pasteurized process, KRAFT - NFY090HJO",0.0,0.0,0.0,0.0,31.0
325069,"Proximates, American cheese, pasteurized process, KRAFT - NFY090HKD",0.0,0.0,0.0,0.0,31.2
325090,"Proximates, American cheese, pasteurized process, LAND-O-LAKES - NFY090HMG",0.0,0.0,0.0,0.0,31.0
325100,"Proximates, American cheese, pasteurized process, mixed store brand - NFY090HP4",0.0,0.0,0.0,0.0,30.0
325105,"Proximates, American cheese, pasteurized process, KRAFT DELI DELUXE - NFY090HKO",0.0,0.0,0.0,0.0,30.8
325113,"Proximates, American cheese, pasteurized process, KRAFT - NFY090HKW",0.0,0.0,0.0,0.0,31.0
325118,"Proximates, American cheese, pasteurized process, mixed store brand - NFY090HPK",0.0,0.0,0.0,0.0,30.6
325126,"Proximates, American cheese, pasteurized process, KRAFT - NFY090HK2",0.0,0.0,0.0,0.0,30.9
325136,"Proximates, American cheese, pasteurized process, LUCERNE  - NFY090HPQ",0.0,0.0,0.0,0.0,30.1
325147,"Proximates, American cheese, pasteurized process, KRAFT DELI DELUXE - NFY090HMZ",0.0,0.0,0.0,0.0,30.7
325151,"Proximates, American cheese, pasteurized process, KROGER DELUXE - NFY090HQ4",0.0,0.0,0.0,0.0,29.8
325168,"Proximates, American cheese, pasteurized process, mixed store brand - NFY090HPY",0.0,0.0,0.0,0.0,30.1
325198,"Cheese, pasteurized process, American, vitamin D fortified",5.27,948.0,0.0,18.0,30.6
325201,"Grapefruit juice, white, shelf stable - NFY1213V5",0.0,0.0,0.0,0.0,0.86
325206,"Grapefruit juice, white, shelf stable - NFY1213U4",0.0,0.0,0.0,0.0,0.87
325211,"Grapefruit juice, white, shelf stable - NFY1213US",0.0,0.0,0.0,0.0,0.5
325221,"Grapefruit juice, white, shelf stable - NFY1213SW",0.0,0.0,0.0,0.0,0.69
325227,"Grapefruit juice, white, shelf stable - NFY1213VF",0.0,0.0,0.0,0.0,0.83
325239,"Grapefruit juice, white, shelf stable - NFY1213SH",0.0,0.0,0.0,0.0,0.73
325250,"Grapefruit juice, white, shelf stable - NFY1213TH",0.0,0.0,0.0,0.0,0.65
325255,"Grapefruit juice, white, shelf stable - NFY1213T5",0.0,0.0,0.0,0.0,0.43
325266,"Grapefruit juice, white, shelf stable - NFY1213UD",0.0,0.0,0.0,0.0,0.68
325273,"Grapefruit juice, white, shelf stable - NFY1213UF",0.0,0.0,0.0,0.0,0.0
325279,"Grapefruit juice, white, shelf stable - NFY1213TQ",0.0,0.0,0.0,0.0,0.72
325284,"Grapefruit juice, white, shelf stable - NFY1213TS",0.0,0.0,0.5,0.0,0.0
